Strategy report
Symbol: $TVOLSP
Work Time: 11/11/20, 8:40 AM - 7/29/21, 1:50 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$53,145.00;11/11/20, 8:40 AM;$26,935.00;($19,205.00);-1.0;
2;shared_kg_EveryTickOHLC(OHLC|53,376|72,350|53,376|72,350);Buy to Open;1.0;$26,210.00;11/11/20, 8:40 AM;;$26,935.00;0.0;
3;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$72,350.00;11/11/20, 8:50 AM;$18,974.00;$13,508.00;-1.0;
4;shared_kg_EveryTickOHLC(OHLC|72,642|85,777|72,642|85,777);Buy to Open;1.0;$53,376.00;11/11/20, 8:50 AM;;$45,909.00;0.0;
5;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$85,777.00;11/11/20, 9:00 AM;$13,135.00;$34,228.00;-1.0;
6;shared_kg_EveryTickOHLC(OHLC|86,035|97,458|86,035|97,458);Buy to Open;1.0;$72,642.00;11/11/20, 9:00 AM;;$59,044.00;0.0;
7;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$97,458.00;11/11/20, 9:10 AM;$11,423.00;$48,753.00;-1.0;
8;shared_kg_EveryTickOHLC(OHLC|97,616|107,749|97,616|107,749);Buy to Open;1.0;$86,035.00;11/11/20, 9:10 AM;;$70,467.00;0.0;
9;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$107,749.00;11/11/20, 9:20 AM;$10,133.00;$60,812.00;-1.0;
10;shared_kg_EveryTickOHLC(OHLC|107,870|117,404|107,870|117,404);Buy to Open;1.0;$97,616.00;11/11/20, 9:20 AM;;$80,600.00;0.0;
11;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$117,404.00;11/11/20, 9:30 AM;$9,534.00;$72,204.00;-1.0;
12;shared_kg_EveryTickOHLC(OHLC|117,690|125,800|117,690|125,800);Buy to Open;1.0;$107,870.00;11/11/20, 9:30 AM;;$90,134.00;0.0;
13;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$125,800.00;11/11/20, 9:40 AM;$8,110.00;$81,536.00;-1.0;
14;shared_kg_EveryTickOHLC(OHLC|125,890|134,398|125,890|134,398);Buy to Open;1.0;$117,690.00;11/11/20, 9:40 AM;;$98,244.00;0.0;
15;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$134,398.00;11/11/20, 9:50 AM;$8,508.00;$89,928.00;-1.0;
16;shared_kg_EveryTickOHLC(OHLC|134,478|142,714|134,478|142,714);Buy to Open;1.0;$125,890.00;11/11/20, 9:50 AM;;$106,752.00;0.0;
17;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$142,714.00;11/11/20, 10:00 AM;$8,236.00;$98,531.00;-1.0;
18;shared_kg_EveryTickOHLC(OHLC|142,848|150,935|142,848|150,935);Buy to Open;1.0;$134,478.00;11/11/20, 10:00 AM;;$114,988.00;0.0;
19;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$150,935.00;11/11/20, 10:10 AM;$8,087.00;$107,566.00;-1.0;
20;shared_kg_EveryTickOHLC(OHLC|151,029|158,357|151,029|158,357);Buy to Open;1.0;$142,848.00;11/11/20, 10:10 AM;;$123,075.00;0.0;
21;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$158,357.00;11/11/20, 10:20 AM;$7,328.00;$115,939.00;-1.0;
22;shared_kg_EveryTickOHLC(OHLC|158,603|165,493|158,603|165,493);Buy to Open;1.0;$151,029.00;11/11/20, 10:20 AM;;$130,403.00;0.0;
23;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$165,493.00;11/11/20, 10:30 AM;$6,890.00;$123,502.00;-1.0;
24;shared_kg_EveryTickOHLC(OHLC|165,620|172,394|165,620|172,394);Buy to Open;1.0;$158,603.00;11/11/20, 10:30 AM;;$137,293.00;0.0;
25;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$172,394.00;11/11/20, 10:40 AM;$6,774.00;$130,309.00;-1.0;
26;shared_kg_EveryTickOHLC(OHLC|172,545|179,378|172,545|179,378);Buy to Open;1.0;$165,620.00;11/11/20, 10:40 AM;;$144,067.00;0.0;
