Strategy report
Symbol: $VOLSPD
Work Time: 11/11/20, 8:40 AM - 7/29/21, 1:50 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$21,133,323.00;11/11/20, 8:40 AM;$16,701,251.00;$17,604,157.00;-1.0;
2;shared_kg_EveryTickOHLC(OHLC|4,246,329|5,598,115|-5,683,077|3,529,166);Buy to Open;1.0;$4,432,072.00;11/11/20, 8:40 AM;;$16,701,251.00;0.0;
3;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$5,598,115.00;11/11/20, 8:50 AM;$11,281,192.00;$36,676,101.00;-1.0;
4;shared_kg_EveryTickOHLC(OHLC|1,345,636|1,781,014|-15,140,215|-14,376,735);Buy to Open;1.0;($5,683,077.00);11/11/20, 8:50 AM;;$27,982,443.00;0.0;
5;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$1,781,014.00;11/11/20, 9:00 AM;$16,921,229.00;$44,478,177.00;-1.0;
6;shared_kg_EveryTickOHLC(OHLC|-10,752,459|-5,604,859|-18,705,312|-14,714,720);Buy to Open;1.0;($15,140,215.00);11/11/20, 9:00 AM;;$44,903,672.00;0.0;
7;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;($5,604,859.00);11/11/20, 9:10 AM;$13,100,453.00;$52,441,336.00;-1.0;
8;shared_kg_EveryTickOHLC(OHLC|-15,743,852|-8,099,980|-16,463,668|-13,142,523);Buy to Open;1.0;($18,705,312.00);11/11/20, 9:10 AM;;$58,004,125.00;0.0;
9;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;($8,099,980.00);11/11/20, 9:20 AM;$8,363,688.00;$61,580,120.00;-1.0;
10;shared_kg_EveryTickOHLC(OHLC|-11,702,234|-7,894,319|-22,776,157|-11,675,975);Buy to Open;1.0;($16,463,668.00);11/11/20, 9:20 AM;;$66,367,813.00;0.0;
11;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;($7,894,319.00);11/11/20, 9:30 AM;$14,881,838.00;$68,221,812.00;-1.0;
12;shared_kg_EveryTickOHLC(OHLC|-10,962,092|-8,612,286|-12,800,659|-9,748,318);Buy to Open;1.0;($22,776,157.00);11/11/20, 9:30 AM;;$81,249,651.00;0.0;
13;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;($8,612,286.00);11/11/20, 9:40 AM;$4,188,373.00;$77,185,779.00;-1.0;
14;shared_kg_EveryTickOHLC(OHLC|-8,568,522|-4,401,912|-14,148,794|-4,548,414);Buy to Open;1.0;($12,800,659.00);11/11/20, 9:40 AM;;$85,438,024.00;0.0;
15;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;($4,401,912.00);11/11/20, 9:50 AM;$9,746,882.00;$91,515,719.00;-1.0;
16;shared_kg_EveryTickOHLC(OHLC|-4,562,243|-3,747,161|-11,194,172|-10,479,607);Buy to Open;1.0;($14,148,794.00);11/11/20, 9:50 AM;;$95,184,906.00;0.0;
17;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;($3,747,161.00);11/11/20, 10:00 AM;$7,447,011.00;$97,653,248.00;-1.0;
18;shared_kg_EveryTickOHLC(OHLC|-10,502,318|-6,208,087|-16,033,893|-6,215,503);Buy to Open;1.0;($11,194,172.00);11/11/20, 10:00 AM;;$102,631,917.00;0.0;
19;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;($6,208,087.00);11/11/20, 10:10 AM;$9,825,806.00;$93,481,282.00;-1.0;
20;shared_kg_EveryTickOHLC(OHLC|-6,181,559|3,475,942|-9,017,540|2,942,548);Buy to Open;1.0;($16,033,893.00);11/11/20, 10:10 AM;;$112,457,723.00;0.0;
21;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$3,475,942.00;11/11/20, 10:20 AM;$12,493,482.00;$117,944,391.00;-1.0;
22;shared_kg_EveryTickOHLC(OHLC|3,039,478|3,066,470|-8,842,115|-2,010,726);Buy to Open;1.0;($9,017,540.00);11/11/20, 10:20 AM;;$124,951,205.00;0.0;
23;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$3,066,470.00;11/11/20, 10:30 AM;$11,908,585.00;$129,075,401.00;-1.0;
24;shared_kg_EveryTickOHLC(OHLC|-5,603,032|9,026,843|-5,606,457|-1,057,726);Buy to Open;1.0;($8,842,115.00);11/11/20, 10:30 AM;;$136,859,790.00;0.0;
25;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$9,026,843.00;11/11/20, 10:40 AM;$14,633,300.00;$152,962,028.00;-1.0;
26;shared_kg_EveryTickOHLC(OHLC|-1,044,308|3,671,433|-8,298,917|-7,075,395);Buy to Open;1.0;($5,606,457.00);11/11/20, 10:40 AM;;$151,493,090.00;0.0;
27;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$3,671,433.00;11/11/20, 10:50 AM;$11,970,350.00;$165,952,949.00;-1.0;
28;shared_kg_EveryTickOHLC(OHLC|-8,327,695|-6,066,771|-10,843,990|-10,788,426);Buy to Open;1.0;($8,298,917.00);11/11/20, 10:50 AM;;$163,463,440.00;0.0;
29;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;($6,066,771.00);11/11/20, 11:00 AM;$4,777,219.00;$159,617,161.00;-1.0;
30;shared_kg_EveryTickOHLC(OHLC|-10,322,046|-1,700,904|-14,733,152|-2,220,492);Buy to Open;1.0;($10,843,990.00);11/11/20, 11:00 AM;;$168,240,659.00;0.0;
31;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;($1,700,904.00);11/11/20, 11:10 AM;$13,032,248.00;$176,304,167.00;-1.0;
32;shared_kg_EveryTickOHLC(OHLC|-4,492,182|-2,553,633|-16,786,855|-9,764,412);Buy to Open;1.0;($14,733,152.00);11/11/20, 11:10 AM;;$181,272,907.00;0.0;
33;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;($2,553,633.00);11/11/20, 11:20 AM;$14,233,222.00;$190,510,142.00;-1.0;
34;shared_kg_EveryTickOHLC(OHLC|-9,764,016|-6,606,844|-15,652,223|-11,790,868);Buy to Open;1.0;($16,786,855.00);11/11/20, 11:20 AM;;$195,506,129.00;0.0;
35;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;($6,606,844.00);11/11/20, 11:30 AM;$9,045,379.00;$207,548,701.00;-1.0;
36;shared_kg_EveryTickOHLC(OHLC|-12,375,292|-5,384,588|-18,649,951|-18,649,416);Buy to Open;1.0;($15,652,223.00);11/11/20, 11:30 AM;;$204,551,508.00;0.0;
37;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;($5,384,588.00);11/11/20, 11:40 AM;$13,265,363.00;$197,493,024.00;-1.0;
38;shared_kg_EveryTickOHLC(OHLC|-18,652,631|2,999,052|-21,358,854|1,673,896);Buy to Open;1.0;($18,649,951.00);11/11/20, 11:40 AM;;$217,816,871.00;0.0;
39;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$2,999,052.00;11/11/20, 11:50 AM;$24,357,906.00;$222,419,117.00;-1.0;
40;shared_kg_EveryTickOHLC(OHLC|1,679,232|5,253,735|-4,953,667|-1,603,194);Buy to Open;1.0;($21,358,854.00);11/11/20, 11:50 AM;;$242,174,777.00;0.0;
41;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$5,253,735.00;11/11/20, 12:00 PM;$10,207,402.00;$272,061,313.00;-1.0;
42;shared_kg_EveryTickOHLC(OHLC|2,312,060|3,674,735|-25,451,612|-24,632,801);Buy to Open;1.0;($4,953,667.00);11/11/20, 12:00 PM;;$252,382,179.00;0.0;
43;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$3,674,735.00;11/11/20, 12:10 PM;$29,126,347.00;$282,084,270.00;-1.0;
44;shared_kg_EveryTickOHLC(OHLC|-24,885,952|-19,198,774|-39,197,054|-26,027,356);Buy to Open;1.0;($25,451,612.00);11/11/20, 12:10 PM;;$281,508,526.00;0.0;
45;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;($19,198,774.00);11/11/20, 12:20 PM;$19,998,280.00;$292,145,981.00;-1.0;
46;shared_kg_EveryTickOHLC(OHLC|-22,527,865|7,547,723|-35,292,615|-29,836,229);Buy to Open;1.0;($39,197,054.00);11/11/20, 12:20 PM;;$301,506,806.00;0.0;
47;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$7,547,723.00;11/11/20, 12:30 PM;$42,840,338.00;$332,821,455.00;-1.0;
48;shared_kg_EveryTickOHLC(OHLC|-26,786,026|-16,596,435|-29,917,856|-23,766,926);Buy to Open;1.0;($35,292,615.00);11/11/20, 12:30 PM;;$344,347,144.00;0.0;
49;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;($16,596,435.00);11/11/20, 12:40 PM;$13,321,421.00;$357,402,659.00;-1.0;
50;shared_kg_EveryTickOHLC(OHLC|-23,773,620|-14,581,058|-32,895,734|-29,651,950);Buy to Open;1.0;($29,917,856.00);11/11/20, 12:40 PM;;$357,668,565.00;0.0;
51;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;($14,581,058.00);11/11/20, 12:50 PM;$18,314,676.00;$378,520,772.00;-1.0;
52;shared_kg_EveryTickOHLC(OHLC|-30,296,891|-26,658,733|-38,320,733|-35,433,265);Buy to Open;1.0;($32,895,734.00);11/11/20, 12:50 PM;;$375,983,241.00;0.0;
53;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;($26,658,733.00);11/11/20, 1:00 PM;$11,662,000.00;$382,004,112.00;-1.0;
54;shared_kg_EveryTickOHLC(OHLC|-35,903,795|-27,076,677|-37,229,577|-32,679,604);Buy to Open;1.0;($38,320,733.00);11/11/20, 1:00 PM;;$387,645,241.00;0.0;
55;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;($27,076,677.00);11/11/20, 1:10 PM;$10,152,900.00;$395,006,736.00;-1.0;
56;shared_kg_EveryTickOHLC(OHLC|-32,678,409|-18,708,369|-37,431,742|-34,438,172);Buy to Open;1.0;($37,229,577.00);11/11/20, 1:10 PM;;$397,798,141.00;0.0;
57;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;($18,708,369.00);11/11/20, 1:20 PM;$18,723,373.00;$429,997,114.00;-1.0;
58;shared_kg_EveryTickOHLC(OHLC|-34,439,051|-27,873,462|-50,910,761|-50,907,342);Buy to Open;1.0;($37,431,742.00);11/11/20, 1:20 PM;;$416,521,514.00;0.0;
59;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;($27,873,462.00);11/11/20, 1:30 PM;$23,037,299.00;$446,147,880.00;-1.0;
60;shared_kg_EveryTickOHLC(OHLC|-50,809,798|-48,956,284|-58,272,092|-57,499,828);Buy to Open;1.0;($50,910,761.00);11/11/20, 1:30 PM;;$439,558,813.00;0.0;
61;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;($48,956,284.00);11/11/20, 1:40 PM;$9,315,808.00;$461,569,686.00;-1.0;
62;shared_kg_EveryTickOHLC(OHLC|-55,622,200|-55,621,829|-72,554,201|-70,967,157);Buy to Open;1.0;($58,272,092.00);11/11/20, 1:40 PM;;$448,874,621.00;0.0;
63;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;($55,621,829.00);11/11/20, 1:50 PM;$16,932,372.00;$459,568,412.00;-1.0;
64;shared_kg_EveryTickOHLC(OHLC|-71,712,113|-60,951,343|-75,083,356|-66,315,620);Buy to Open;1.0;($72,554,201.00);11/11/20, 1:50 PM;;$465,806,993.00;0.0;
