Strategy report
Symbol: /ES:XCME
Work Time: 11/11/20, 7:30 AM - 7/29/21, 1:30 PM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,571.50;11/11/20, 7:30 AM;$100.00;$150.00;-50.0;
2;shared_kg_EveryTickOHLC(OHLC|3,570.25|3,570.75|3,568.25|3,568.5);Buy to Open;1;50.0;$3,569.50;11/11/20, 7:30 AM;;$100.00;0.0;
3;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,570.75;11/11/20, 7:40 AM;$125.00;$362.50;-50.0;
4;shared_kg_EveryTickOHLC(OHLC|3,568.5|3,568.75|3,565.25|3,565.5);Buy to Open;1;50.0;$3,568.25;11/11/20, 7:40 AM;;$225.00;0.0;
5;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,568.75;11/11/20, 7:50 AM;$175.00;$375.00;-50.0;
6;shared_kg_EveryTickOHLC(OHLC|3,565.5|3,566|3,563|3,565.75);Buy to Open;1;50.0;$3,565.25;11/11/20, 7:50 AM;;$400.00;0.0;
7;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,566.00;11/11/20, 8:00 AM;$150.00;$512.50;-50.0;
8;shared_kg_EveryTickOHLC(OHLC|3,565.75|3,566|3,562|3,563.75);Buy to Open;1;50.0;$3,563.00;11/11/20, 8:00 AM;;$550.00;0.0;
9;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,566.00;11/11/20, 8:10 AM;$200.00;$512.50;-50.0;
10;shared_kg_EveryTickOHLC(OHLC|3,563.75|3,566.75|3,563.75|3,566.75);Buy to Open;1;50.0;$3,562.00;11/11/20, 8:10 AM;;$750.00;0.0;
11;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,566.75;11/11/20, 8:20 AM;$150.00;$837.50;-50.0;
12;shared_kg_EveryTickOHLC(OHLC|3,566.5|3,566.75|3,563.5|3,565);Buy to Open;1;50.0;$3,563.75;11/11/20, 8:20 AM;;$900.00;0.0;
13;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,566.75;11/11/20, 8:30 AM;$162.50;$1,187.50;-50.0;
14;shared_kg_EveryTickOHLC(OHLC|3,564.75|3,566.75|3,558.25|3,561);Buy to Open;1;50.0;$3,563.50;11/11/20, 8:30 AM;;$1,062.50;0.0;
15;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,566.75;11/11/20, 8:40 AM;$425.00;$1,187.50;-50.0;
16;shared_kg_EveryTickOHLC(OHLC|3,561|3,567|3,558.75|3,564.25);Buy to Open;1;50.0;$3,558.25;11/11/20, 8:40 AM;;$1,487.50;0.0;
17;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,567.00;11/11/20, 8:50 AM;$412.50;$2,137.50;-50.0;
18;shared_kg_EveryTickOHLC(OHLC|3,564.25|3,566|3,551.75|3,554);Buy to Open;1;50.0;$3,558.75;11/11/20, 8:50 AM;;$1,900.00;0.0;
19;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,566.00;11/11/20, 9:00 AM;$712.50;$2,362.50;-50.0;
20;shared_kg_EveryTickOHLC(OHLC|3,554|3,557.75|3,552.25|3,556.75);Buy to Open;1;50.0;$3,551.75;11/11/20, 9:00 AM;;$2,612.50;0.0;
21;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,557.75;11/11/20, 9:10 AM;$275.00;$2,725.00;-50.0;
22;shared_kg_EveryTickOHLC(OHLC|3,556.75|3,559.25|3,552|3,555.5);Buy to Open;1;50.0;$3,552.25;11/11/20, 9:10 AM;;$2,887.50;0.0;
23;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,559.25;11/11/20, 9:20 AM;$362.50;$2,875.00;-50.0;
24;shared_kg_EveryTickOHLC(OHLC|3,555.75|3,559.75|3,553.25|3,559.5);Buy to Open;1;50.0;$3,552.00;11/11/20, 9:20 AM;;$3,250.00;0.0;
25;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,559.75;11/11/20, 9:30 AM;$325.00;$3,237.50;-50.0;
