Strategy report
Symbol: SPX
Work Time: 11/11/20, 8:40 AM - 7/29/21, 1:50 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$3,569.10;11/11/20, 8:40 AM;$5.88;$0.25;-1.0;
2;shared_kg_EveryTickOHLC(OHLC|3,565.21|3,571.32|3,564.01|3,568.85);Buy to Open;1.0;$3,563.22;11/11/20, 8:40 AM;;$5.88;0.0;
3;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$3,571.32;11/11/20, 8:50 AM;$7.31;$18.45;-1.0;
4;shared_kg_EveryTickOHLC(OHLC|3,568.92|3,570.05|3,557.94|3,558.75);Buy to Open;1.0;$3,564.01;11/11/20, 8:50 AM;;$13.19;0.0;
5;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$3,570.05;11/11/20, 9:00 AM;$12.11;$21.08;-1.0;
6;shared_kg_EveryTickOHLC(OHLC|3,558.86|3,562.52|3,557.84|3,562.16);Buy to Open;1.0;$3,557.94;11/11/20, 9:00 AM;;$25.30;0.0;
7;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$3,562.52;11/11/20, 9:10 AM;$4.68;$27.22;-1.0;
8;shared_kg_EveryTickOHLC(OHLC|3,562.19|3,563.79|3,558.01|3,560.6);Buy to Open;1.0;$3,557.84;11/11/20, 9:10 AM;;$29.98;0.0;
9;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$3,563.79;11/11/20, 9:20 AM;$5.78;$29.48;-1.0;
10;shared_kg_EveryTickOHLC(OHLC|3,560.58|3,564.29|3,558.83|3,564.29);Buy to Open;1.0;$3,558.01;11/11/20, 9:20 AM;;$35.76;0.0;
11;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$3,564.29;11/11/20, 9:30 AM;$5.46;$34.84;-1.0;
12;shared_kg_EveryTickOHLC(OHLC|3,564.33|3,568.52|3,563.93|3,565.21);Buy to Open;1.0;$3,558.83;11/11/20, 9:30 AM;;$41.22;0.0;
13;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$3,568.52;11/11/20, 9:40 AM;$4.59;$47.66;-1.0;
14;shared_kg_EveryTickOHLC(OHLC|3,565.19|3,566.93|3,561.18|3,562.08);Buy to Open;1.0;$3,563.93;11/11/20, 9:40 AM;;$45.81;0.0;
15;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$3,566.93;11/11/20, 9:50 AM;$5.75;$47.00;-1.0;
16;shared_kg_EveryTickOHLC(OHLC|3,562.09|3,566.18|3,561.21|3,565.74);Buy to Open;1.0;$3,561.18;11/11/20, 9:50 AM;;$51.56;0.0;
17;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$3,566.18;11/11/20, 10:00 AM;$4.97;$50.10;-1.0;
18;shared_kg_EveryTickOHLC(OHLC|3,565.7|3,567.76|3,563.72|3,567.64);Buy to Open;1.0;$3,561.21;11/11/20, 10:00 AM;;$56.53;0.0;
19;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$3,567.76;11/11/20, 10:10 AM;$4.04;$52.10;-1.0;
20;shared_kg_EveryTickOHLC(OHLC|3,567.67|3,572.19|3,567.42|3,572.19);Buy to Open;1.0;$3,563.72;11/11/20, 10:10 AM;;$60.57;0.0;
21;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$3,572.19;11/11/20, 10:20 AM;$4.77;$60.89;-1.0;
22;shared_kg_EveryTickOHLC(OHLC|3,572.24|3,573.01|3,570.81|3,571.87);Buy to Open;1.0;$3,567.42;11/11/20, 10:20 AM;;$65.34;0.0;
23;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$3,573.01;11/11/20, 10:30 AM;$2.20;$66.42;-1.0;
24;shared_kg_EveryTickOHLC(OHLC|3,571.87|3,573.42|3,570.8|3,571.93);Buy to Open;1.0;$3,570.81;11/11/20, 10:30 AM;;$67.54;0.0;
25;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$3,573.42;11/11/20, 10:40 AM;$2.62;$66.17;-1.0;
26;shared_kg_EveryTickOHLC(OHLC|3,571.96|3,575.21|3,571.96|3,574.79);Buy to Open;1.0;$3,570.80;11/11/20, 10:40 AM;;$70.16;0.0;
27;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$3,575.21;11/11/20, 10:50 AM;$3.25;$70.54;-1.0;
28;shared_kg_EveryTickOHLC(OHLC|3,574.78|3,575.01|3,572.39|3,574.83);Buy to Open;1.0;$3,571.96;11/11/20, 10:50 AM;;$73.41;0.0;
29;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$3,575.01;11/11/20, 11:00 AM;$2.62;$70.07;-1.0;
30;shared_kg_EveryTickOHLC(OHLC|3,574.87|3,578.95|3,573.42|3,578.35);Buy to Open;1.0;$3,572.39;11/11/20, 11:00 AM;;$76.03;0.0;
31;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$3,578.95;11/11/20, 11:10 AM;$5.53;$80.55;-1.0;
32;shared_kg_EveryTickOHLC(OHLC|3,578.38|3,578.88|3,573.96|3,574.43);Buy to Open;1.0;$3,573.42;11/11/20, 11:10 AM;;$81.56;0.0;
33;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$3,578.88;11/11/20, 11:20 AM;$4.92;$85.83;-1.0;
34;shared_kg_EveryTickOHLC(OHLC|3,574.43|3,575.4|3,573.11|3,574.61);Buy to Open;1.0;$3,573.96;11/11/20, 11:20 AM;;$86.48;0.0;
35;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$3,575.40;11/11/20, 11:30 AM;$2.29;$85.18;-1.0;
36;shared_kg_EveryTickOHLC(OHLC|3,574.62|3,577.17|3,574.62|3,576.7);Buy to Open;1.0;$3,573.11;11/11/20, 11:30 AM;;$88.77;0.0;
37;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$3,577.17;11/11/20, 11:40 AM;$2.55;$87.56;-1.0;
38;shared_kg_EveryTickOHLC(OHLC|3,576.74|3,579.12|3,576.34|3,578.38);Buy to Open;1.0;$3,574.62;11/11/20, 11:40 AM;;$91.32;0.0;
39;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$3,579.12;11/11/20, 11:50 AM;$2.78;$93.86;-1.0;
40;shared_kg_EveryTickOHLC(OHLC|3,578.43|3,578.65|3,575.76|3,576.58);Buy to Open;1.0;$3,576.34;11/11/20, 11:50 AM;;$94.10;0.0;
41;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$3,578.65;11/11/20, 12:00 PM;$2.89;$97.33;-1.0;
42;shared_kg_EveryTickOHLC(OHLC|3,576.68|3,577.13|3,575.04|3,575.42);Buy to Open;1.0;$3,575.76;11/11/20, 12:00 PM;;$96.99;0.0;
43;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$3,577.13;11/11/20, 12:10 PM;$2.09;$96.15;-1.0;
44;shared_kg_EveryTickOHLC(OHLC|3,575.43|3,578.16|3,575.14|3,577.97);Buy to Open;1.0;$3,575.04;11/11/20, 12:10 PM;;$99.08;0.0;
45;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$3,578.16;11/11/20, 12:20 PM;$3.02;$101.42;-1.0;
46;shared_kg_EveryTickOHLC(OHLC|3,577.98|3,581.16|3,575.63|3,575.82);Buy to Open;1.0;$3,575.14;11/11/20, 12:20 PM;;$102.10;0.0;
47;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$3,581.16;11/11/20, 12:30 PM;$5.53;$102.95;-1.0;
48;shared_kg_EveryTickOHLC(OHLC|3,575.84|3,580.31|3,575.63|3,580.31);Buy to Open;1.0;$3,575.63;11/11/20, 12:30 PM;;$107.63;0.0;
49;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$3,580.31;11/11/20, 12:40 PM;$4.68;$112.05;-1.0;
50;shared_kg_EveryTickOHLC(OHLC|3,580.33|3,580.33|3,575.52|3,575.89);Buy to Open;1.0;$3,575.63;11/11/20, 12:40 PM;;$112.31;0.0;
51;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$3,580.33;11/11/20, 12:50 PM;$4.81;$119.92;-1.0;
