Strategy report
Symbol: VIX
Work Time: 11/11/20, 7:30 AM - 7/29/21, 1:50 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$24.10;11/11/20, 7:30 AM;$0.07;$0.02;-1.0;
2;shared_kg_EveryTickOHLC(OHLC|24.07|24.08|23.93|24.08);Buy to Open;1.0;$24.03;11/11/20, 7:30 AM;;$0.07;0.0;
3;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$24.08;11/11/20, 7:40 AM;$0.15;($0.01);-1.0;
4;shared_kg_EveryTickOHLC(OHLC|24.09|24.16|24.09|24.16);Buy to Open;1.0;$23.93;11/11/20, 7:40 AM;;$0.22;0.0;
5;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$24.16;11/11/20, 7:50 AM;$0.07;$0.22;-1.0;
6;shared_kg_EveryTickOHLC(OHLC|24.17|24.21|24.16|24.16);Buy to Open;1.0;$24.09;11/11/20, 7:50 AM;;$0.29;0.0;
7;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$24.21;11/11/20, 8:00 AM;$0.05;$0.66;-1.0;
8;shared_kg_EveryTickOHLC(OHLC|24.15|24.15|22.57|23.84);Buy to Open;1.0;$24.16;11/11/20, 8:00 AM;;$0.34;0.0;
9;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$24.15;11/11/20, 8:10 AM;$1.58;$0.65;-1.0;
10;shared_kg_EveryTickOHLC(OHLC|23.85|23.85|23.83|23.84);Buy to Open;1.0;$22.57;11/11/20, 8:10 AM;;$1.92;0.0;
11;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$23.85;11/11/20, 8:30 AM;$0.02;$1.78;-1.0;
12;shared_kg_EveryTickOHLC(OHLC|24.25|24.27|23.99|23.99);Buy to Open;1.0;$23.83;11/11/20, 8:30 AM;;$1.94;0.0;
13;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$24.27;11/11/20, 8:40 AM;$0.28;$2.39;-1.0;
14;shared_kg_EveryTickOHLC(OHLC|23.99|24.04|23.78|23.82);Buy to Open;1.0;$23.99;11/11/20, 8:40 AM;;$2.22;0.0;
15;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$24.04;11/11/20, 8:50 AM;$0.26;$2.13;-1.0;
16;shared_kg_EveryTickOHLC(OHLC|23.82|24.18|23.79|24.13);Buy to Open;1.0;$23.78;11/11/20, 8:50 AM;;$2.48;0.0;
17;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$24.18;11/11/20, 9:00 AM;$0.39;$2.71;-1.0;
18;shared_kg_EveryTickOHLC(OHLC|24.15|24.15|23.95|23.95);Buy to Open;1.0;$23.79;11/11/20, 9:00 AM;;$2.87;0.0;
19;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$24.15;11/11/20, 9:10 AM;$0.20;$3.11;-1.0;
20;shared_kg_EveryTickOHLC(OHLC|23.94|24.03|23.81|23.91);Buy to Open;1.0;$23.95;11/11/20, 9:10 AM;;$3.07;0.0;
21;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$24.03;11/11/20, 9:20 AM;$0.22;$3.27;-1.0;
22;shared_kg_EveryTickOHLC(OHLC|23.93|23.95|23.83|23.83);Buy to Open;1.0;$23.81;11/11/20, 9:20 AM;;$3.29;0.0;
23;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$23.95;11/11/20, 9:30 AM;$0.12;$3.62;-1.0;
24;shared_kg_EveryTickOHLC(OHLC|23.77|23.77|23.6|23.62);Buy to Open;1.0;$23.83;11/11/20, 9:30 AM;;$3.41;0.0;
25;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$23.77;11/11/20, 9:40 AM;$0.17;$3.46;-1.0;
26;shared_kg_EveryTickOHLC(OHLC|23.64|23.77|23.62|23.72);Buy to Open;1.0;$23.60;11/11/20, 9:40 AM;;$3.58;0.0;
27;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$23.77;11/11/20, 9:50 AM;$0.15;$3.83;-1.0;
28;shared_kg_EveryTickOHLC(OHLC|23.71|23.73|23.52|23.52);Buy to Open;1.0;$23.62;11/11/20, 9:50 AM;;$3.73;0.0;
29;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$23.73;11/11/20, 10:00 AM;$0.21;$4.03;-1.0;
30;shared_kg_EveryTickOHLC(OHLC|23.53|23.57|23.43|23.43);Buy to Open;1.0;$23.52;11/11/20, 10:00 AM;;$3.94;0.0;
31;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$23.57;11/11/20, 10:10 AM;$0.14;$4.31;-1.0;
32;shared_kg_EveryTickOHLC(OHLC|23.42|23.42|23.2|23.2);Buy to Open;1.0;$23.43;11/11/20, 10:10 AM;;$4.08;0.0;
33;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$23.42;11/11/20, 10:20 AM;$0.22;$4.33;-1.0;
34;shared_kg_EveryTickOHLC(OHLC|23.2|23.23|23.15|23.17);Buy to Open;1.0;$23.20;11/11/20, 10:20 AM;;$4.30;0.0;
35;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$23.23;11/11/20, 10:30 AM;$0.08;$4.41;-1.0;
36;shared_kg_EveryTickOHLC(OHLC|23.14|23.16|23.11|23.12);Buy to Open;1.0;$23.15;11/11/20, 10:30 AM;;$4.38;0.0;
37;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$23.16;11/11/20, 10:40 AM;$0.05;$4.60;-1.0;
38;shared_kg_EveryTickOHLC(OHLC|23.12|23.12|22.94|22.94);Buy to Open;1.0;$23.11;11/11/20, 10:40 AM;;$4.43;0.0;
39;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$23.12;11/11/20, 10:50 AM;$0.18;$4.67;-1.0;
40;shared_kg_EveryTickOHLC(OHLC|22.93|22.94|22.88|22.88);Buy to Open;1.0;$22.94;11/11/20, 10:50 AM;;$4.61;0.0;
41;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$22.94;11/11/20, 11:00 AM;$0.06;$4.75;-1.0;
42;shared_kg_EveryTickOHLC(OHLC|22.87|22.91|22.78|22.8);Buy to Open;1.0;$22.88;11/11/20, 11:00 AM;;$4.67;0.0;
43;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$22.91;11/11/20, 11:10 AM;$0.13;$4.65;-1.0;
44;shared_kg_EveryTickOHLC(OHLC|22.81|22.93|22.8|22.93);Buy to Open;1.0;$22.78;11/11/20, 11:10 AM;;$4.80;0.0;
45;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$22.93;11/11/20, 11:20 AM;$0.13;$4.78;-1.0;
46;shared_kg_EveryTickOHLC(OHLC|22.92|22.98|22.92|22.95);Buy to Open;1.0;$22.80;11/11/20, 11:20 AM;;$4.93;0.0;
47;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1.0;$22.98;11/11/20, 11:30 AM;$0.06;$5.00;-1.0;
