Time,SPX,VIX,TVOLSP,VOLSPD,ADSPD,TIKSP,Return,Trend5h,Trend1h,Trend30min,Return5h,Return1h,Return30min
11/11/2020 8:40,3564.01,23.78,53376,-5683077,10,-145,0,0,0,0,-0.001672274,-0.000794049,-0.001683497
11/11/2020 8:50,3557.94,23.79,72642,-15140215,-98,-277,-0.001703138,0,1,1,-0.000264198,0.000919071,0.000250145
11/11/2020 9:00,3557.84,23.95,86035,-18705312,-117,-191,-2.81062E-05,1,1,1,0.001121467,0.001652688,0.001711713
11/11/2020 9:10,3558.01,23.81,97616,-16463668,-111,-175,4.77818E-05,1,1,1,0.001961771,0.002644737,0.000890947
11/11/2020 9:20,3558.83,23.83,107870,-22776157,-94,-121,0.000230466,1,1,1,0.000460826,0.003366275,0.000668759
11/11/2020 9:30,3563.93,23.6,117690,-12800659,-61,-141,0.001433055,0,1,0,-0.001172863,0.001927647,-5.89237E-05
11/11/2020 9:40,3561.18,23.62,125890,-14148794,-46,-155,-0.00077162,1,1,1,0.001353484,0.003027087,0.001752228
11/11/2020 9:50,3561.21,23.52,134478,-11194172,-47,-157,8.42417E-06,1,1,1,0.002527231,0.003139382,0.002695713
11/11/2020 10:00,3563.72,23.43,142848,-16033893,-39,-159,0.000704817,1,1,1,0.002494584,0.002721875,0.001986688
11/11/2020 10:10,3567.42,23.2,151029,-9017540,-26,-127,0.001038241,0,1,1,-0.003977665,0.001833258,0.001272628
11/11/2020 10:20,3570.81,23.15,158603,-8842115,-34,-181,0.000950267,0,1,1,-0.005206102,0.000644112,0.000442477
11/11/2020 10:30,3570.8,23.11,165620,-5606457,-1,-167,-2.80049E-06,0,1,1,-0.004335163,0.001069788,0.000733729
11/11/2020 10:40,3571.96,22.94,172545,-8298917,2,-137,0.000324857,0,1,1,-0.003205523,0.001226218,0.000559917
11/11/2020 10:50,3572.39,22.88,179511,-10843990,-11,-147,0.000120382,0,1,1,-0.004165279,0.000943346,0.000201546
11/11/2020 11:00,3573.42,22.78,185260,-14733152,-6,-113,0.000288322,0,1,1,-0.004133295,0.000453347,0.000335813
11/11/2020 11:10,3573.96,22.8,192489,-16786855,-5,-137,0.000151116,0,1,1,-0.002711278,0.000330166,0.000665928
11/11/2020 11:20,3573.11,22.92,198431,-15652223,-11,-179,-0.000237831,0,1,1,-0.002616768,0.000705268,0.000741651
11/11/2020 11:30,3574.62,22.89,204208,-18649951,-1,-131,0.000422601,0,1,1,-0.00293178,0.000282548,0.000117495
11/11/2020 11:40,3576.34,22.85,209310,-21358854,-1,-95,0.00048117,0,0,0,-0.004208213,-0.000229285,-0.000335539
11/11/2020 11:50,3575.76,22.89,215223,-4953667,1,-179,-0.000162177,0,0,0,-0.004429828,-0.000869745,-3.63559E-05
11/11/2020 12:00,3575.04,22.93,220650,-25451612,-8,-133,-0.000201356,0,0,1,-0.005216725,-0.000632161,0.000165033
11/11/2020 12:10,3575.14,22.87,226404,-39197054,-20,-129,2.79717E-05,0,0,1,-0.006315837,-0.000665708,0.00010629
11/11/2020 12:20,3575.63,22.83,233058,-35292615,-9,-303,0.000137058,0,0,0,-0.005917838,-0.0021255,-0.00083342
11/11/2020 12:30,3575.63,22.95,239151,-29917856,-9,-105,0,0,0,0,-0.005517909,-0.002206604,-0.000797062
11/11/2020 12:40,3575.52,22.94,245222,-32895734,-11,-253,-3.07638E-05,0,0,0,-0.005014655,-0.004886003,-0.000771916
11/11/2020 12:50,3572.65,23.13,250857,-38320733,-13,-203,-0.00080268,0,0,0,-0.006787679,-0.004380502,-0.001293158
11/11/2020 13:00,3572.78,23.21,256462,-37229577,-9,-139,3.63876E-05,0,0,0,-0.007120506,-0.00306484,-0.001410666
11/11/2020 13:10,3572.76,23.23,262876,-37431742,-29,-273,-5.59788E-06,0,0,0,-0.010680818,-0.002174789,-0.004117265
11/11/2020 13:20,3568.03,23.33,268448,-50910761,-64,-309,-0.001323906,0,0,0,-0.010386684,-0.002118816,-0.003091342
11/11/2020 13:30,3567.74,23.54,274943,-58272092,-69,-285,-8.12773E-05,0,0,0,-0.009669987,-0.002239513,-0.001656511
